name,sceneId
Gared,1
Waymar Royce,1
Will,1
Gared,2
Waymar Royce,2
Will,2
Will,3
Wight Wildling Girl,3
Will,4
Gared,5
Waymar Royce,5
Will,5
Will,6
Gared,7
Waymar Royce,7
Will,8
Gared,9
Waymar Royce,9
White Walker,9
Will,10
Will,11
Wight Wildling Girl,11
Will,12
Gared,12
White Walker,12
Will,13
Jon Snow,13
Bran Stark,13
Robb Stark,13
Eddard Stark,13
Catelyn Stark,13
Rickon Stark,13
Sansa Stark,13
Arya Stark,13
Theon Greyjoy,13
Rodrik Cassel,13
Septa Mordane,13
Will,14
Eddard Stark,14
Robb Stark,14
Theon Greyjoy,14
Bran Stark,14
Rodrik Cassel,14
Jory Cassel,14
Jon Snow,14
Jon Snow,15
Eddard Stark,15
Theon Greyjoy,15
Bran Stark,15
Robb Stark,15
Rodrik Cassel,15
Jory Cassel,15
Grey Wind,15
Lady,15
Nymeria,15
Summer,15
Shaggydog,15
Ghost,15
Jon Arryn,16
Cersei Lannister,16
Jaime Lannister,16
Catelyn Stark,17
Eddard Stark,17
Catelyn Stark,18
Maester Luwin,18
Robb Stark,19
Theon Greyjoy,19
Jon Snow,19
Bran Stark,20
Catelyn Stark,20
Maester Luwin,20
Summer,20
Arya Stark,20
Joffrey Baratheon,20
Sandor Clegane,20
Rickon Stark,20
Eddard Stark,20
Sansa Stark,20
Theon Greyjoy,20
Jon Snow,20
Jory Cassel,20
Hodor,20
Rodrik Cassel,20
Robert Baratheon,20
Cersei Lannister,20
Jaime Lannister,20
Myrcella Baratheon,20
Tommen Baratheon,20
Robert Baratheon,21
Eddard Stark,21
Jaime Lannister,22
Tyrion Lannister,22
Ros,22
Robert Baratheon,23
Eddard Stark,23
Daenerys Targaryen,24
Viserys Targaryen,24
Daenerys Targaryen,25
Viserys Targaryen,25
Illyrio Mopatis,25
Khal Drogo,25
Qotho,25
Viserys Targaryen,26
Illyrio Mopatis,26
Daenerys Targaryen,26
Catelyn Stark,27
Sansa Stark,27
Robert Baratheon,28
Catelyn Stark,28
Cersei Lannister,28
Rodrik Cassel,28
Jon Snow,29
Benjen Stark,29
Tyrion Lannister,29
Rodrik Cassel,30
Benjen Stark,30
Eddard Stark,30
Robb Stark,30
Robert Baratheon,30
Catelyn Stark,30
Cersei Lannister,30
Sansa Stark,30
Joffrey Baratheon,30
Jaime Lannister,30
Arya Stark,30
Theon Greyjoy,30
Eddard Stark,31
Catelyn Stark,31
Maester Luwin,31
Khal Drogo,32
Daenerys Targaryen,32
Viserys Targaryen,32
Illyrio Mopatis,32
Qotho,32
Jorah Mormont,32
Drogon,32
Rhaegal,32
Viserion,32
Khal Drogo,33
Daenerys Targaryen,33
Tyrion Lannister,34
Sandor Clegane,34
Theon Greyjoy,34
Eddard Stark,34
Benjen Stark,34
Robb Stark,34
Robert Baratheon,34
Bran Stark,34
Summer,34
Bran Stark,35
Summer,35
Jaime Lannister,35
Cersei Lannister,35
Jorah Mormont,36
Daenerys Targaryen,36
Khal Drogo,36
Viserys Targaryen,36
Doreah,36
Irri,36
Jhiqui,36
Tyrion Lannister,37
Joffrey Baratheon,37
Sandor Clegane,37
Tyrion Lannister,38
Jaime Lannister,38
Cersei Lannister,38
Tommen Baratheon,38
Myrcella Baratheon,38
Catelyn Stark,39
Bran Stark,39
Cersei Lannister,39
Jon Snow,40
Jaime Lannister,40
Arya Stark,41
Nymeria,41
Jon Snow,41
Catelyn Stark,42
Jon Snow,42
Bran Stark,42
Eddard Stark,42
Jon Snow,43
Robb Stark,43
Tyrion Lannister,44
Benjen Stark,44
Eddard Stark,44
Jon Snow,44
Robert Baratheon,45
Eddard Stark,45
Khal Drogo,46
Daenerys Targaryen,46
Drogon,46
Rhaegal,46
Viserion,46
Jon Snow,47
Ghost,47
Benjen Stark,47
Tyrion Lannister,47
Rast,47
Catelyn Stark,48
Bran Stark,48
Maester Luwin,48
Robb Stark,48
Catspaw Assassin,48
Summer,48
Daenerys Targaryen,49
Doreah,49
Irri,49
Jhiqui,49
Drogon,49
Rhaegal,49
Viserion,49
Benjen Stark,50
Jon Snow,50
Tyrion Lannister,50
Catelyn Stark,51
Catelyn Stark,52
Robb Stark,52
Maester Luwin,52
Rodrik Cassel,52
Theon Greyjoy,52
Catelyn Stark,53
Bran Stark,53
Daenerys Targaryen,54
Doreah,54
Drogon,55
Rhaegal,55
Viserion,55
Khal Drogo,55
Daenerys Targaryen,55
Sansa Stark,56
Lady,56
Joffrey Baratheon,56
Sandor Clegane,56
Ilyn Payne,56
Arya Stark,57
Mycah,57
Joffrey Baratheon,57
Sansa Stark,57
Nymeria,57
Arya Stark,58
Nymeria,58
Eddard Stark,59
Jory Cassel,59
Eddard Stark,60
Arya Stark,60
Joffrey Baratheon,60
Cersei Lannister,60
Robert Baratheon,60
Ilyn Payne,60
Sansa Stark,60
Jory Cassel,60
Sandor Clegane,61
Mycah,61
Eddard Stark,61
Bran Stark,62
Summer,62
Lady,63
Eddard Stark,63
Bran Stark,64
Summer,64
Eddard Stark,65
Lady,65
Bran Stark,66
Summer,66
Eddard Stark,67
Sansa Stark,67
Arya Stark,67
Jory Cassel,67
Septa Mordane,67
Royal Steward,67
Eddard Stark,68
Jaime Lannister,68
Eddard Stark,69
Lord Varys,69
Grand Maester Pycelle,69
Renly Baratheon,69
Petyr Baelish,69
Joffrey Baratheon,70
Cersei Lannister,70
Arya Stark,71
Sansa Stark,71
Septa Mordane,71
Eddard Stark,71
Arya Stark,72
Eddard Stark,72
Bran Stark,73
Old Nan,73
Robb Stark,73
Rodrik Cassel,74
Catelyn Stark,74
Petyr Baelish,74
Lord Varys,74
Tyrion Lannister,75
Jeor Mormont,75
Alliser Thorne,75
Jon Snow,75
Pypar,75
Grenn,75
Rast,75
Eddard Stark,76
Grand Maester Pycelle,76
Petyr Baelish,76
Eddard Stark,77
Petyr Baelish,77
Catelyn Stark,77
Jon Snow,78
Rast,78
Grenn,78
Pypar,78
Tyrion Lannister,78
Petyr Baelish,79
Catelyn Stark,79
Eddard Stark,79
Cersei Lannister,80
Jaime Lannister,80
Eddard Stark,81
Catelyn Stark,81
Rodrik Cassel,81
Jory Cassel,81
Robert Baratheon,82
Barristan Selmy,82
Lancel Lannister,82
Jaime Lannister,82
Khal Drogo,83
Daenerys Targaryen,83
Jorah Mormont,83
Viserys Targaryen,83
Rakharo,83
Irri,83
Jon Snow,84
Benjen Stark,84
Tyrion Lannister,85
Yoren,85
Benjen Stark,85
Daenerys Targaryen,86
Irri,86
Jorah Mormont,87
Rakharo,87
Irri,87
Tyrion Lannister,88
Jon Snow,88
Pypar,88
Grenn,88
Rast,88
Maester Aemon,88
