name,sex,house,killedBy,image
Addam Marbrand,male,NA,NA,NA
Adrack Humble,male,NA,NA,NA
Aeron Greyjoy,male,Greyjoy,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI5MDg0ZDAtN2Y2ZC00MzU1LTgyYjQtNTBjYjEzODczZDVhXkEyXkFqcGdeQXVyNTg0Nzg4NTE@._V1._SX100_SY140_.jpg
Aerys Targaryen,male,NA,NA,NA
Aggo,male,NA,NA,NA
Akho,male,NA,Daario Naharis,https://images-na.ssl-images-amazon.com/images/M/MV5BOGE4ZDZmOGUtNGE4Ny00Y2VmLThiOGItMjk3Y2U0ZDY3OWQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Alliser Thorne,male,NA,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjExMjA3M15BMl5BanBnXkFtZTcwMjI1ODg5NA@@._V1._SX100_SY140_.jpg
Alton Lannister,male,Lannister,Jaime Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTU1NTAzOF5BMl5BanBnXkFtZTcwNzA2NDk4OA@@._V1._SX100_SY140_.jpg
Amory Lorch,male,NA,Jaqen H'ghar,https://images-na.ssl-images-amazon.com/images/M/MV5BOTVmY2M2YmUtY2JkYS00NjIyLWFhYTAtNTNlZmI4ODdiNmE5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg
Anguy,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRhY2M4YmItNjc2Yi00ZDc0LWE5NmUtNGE5OWE0YTQ2YjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Archmaester Ebrose,male,NA,NA,NA
Areo Hotah,male,NA,Tyene Sand,https://images-na.ssl-images-amazon.com/images/M/MV5BNWFkNTAwNzctOGQ2ZS00OTMyLWE3NDYtOGUwM2E1MzVlYjI0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Arthur,male,NA,NA,NA
Arthur Dayne,male,NA,Howland Reed/Eddard Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BODczZDUxYmQtMzk1MC00ZTUwLTk1MjAtZDJlODViMWFhOGU5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Ash,male,NA,NA,NA
Axell Florent,male,NA,NA,NA
Baby Jon Snow,male,NA,NA,NA
Baby Sam,male,NA,NA,NA
Balon Greyjoy,male,Greyjoy,Euron Greyjoy,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjkwODczN15BMl5BanBnXkFtZTcwODMwNTgzNw@@._V1._SX100_SY140_.jpg
Bannen,male,NA,NA,NA
Baratheon General,male,NA,NA,NA
Baratheon Soldier #1,male,NA,NA,NA
Baratheon Soldier #2,male,NA,NA,NA
Barristan Selmy,male,NA,Sons of the Harpy,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0NjUxNV5BMl5BanBnXkFtZTcwOTA1ODg5NA@@._V1._SX100_SY140_.jpg
Bear Island Maester,male,NA,NA,NA
Belicho Paenymion,male,NA,NA,NA
Benjen Stark,male,Stark,Wights,https://images-na.ssl-images-amazon.com/images/M/MV5BMjFiY2M5MjgtZmRiMS00ZTAyLTk2Y2UtMjdjZTRkZmVlYTMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Beric Dondarrion,male,NA,Sandor Clegane/Wights,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTEwNTg2MF5BMl5BanBnXkFtZTgwNTAxODYxOTE@._V1._SX100_SY140_.jpg
Biter,male,NA,Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1ZWY3NTYtNmYzZS00ZDQyLThhMDItYTQyNmU0ZDg5NWViL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_SY100_SX100_AL_.jpg
Black Jack Bulwer,male,NA,NA,NA
Black Lorren,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BNjg5ZGZjZDUtZmJmNC00MjQ5LWJhZDAtOTc0MzYzNTNkMTZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Black Walder Rivers,male,Frey,Arya Stark,NA
Boat Commander,male,NA,NA,NA
Bobono,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BZWRmNWVhNTctOGJlZC00ZjVlLThkY2MtODU3Y2I2Njc1YzZjL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Bolton General,male,NA,NA,NA
Bolton Guard,male,NA,NA,NA
Bolton Officer,male,NA,NA,NA
Bolton Soldier,male,NA,NA,NA
Bowen Marsh,male,NA,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRkMDYxYjQtYTBjZi00NDZlLThmNGMtYzlhNGI1ZDE5NTJmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Braavosi Captain,male,NA,NA,NA
Braavosi Theatre Server,male,NA,NA,NA
Braavosi Theatre Sound Artist,male,NA,NA,NA
