sceneStart,sceneEnd,location,subLocation,episodeId,duration,nbc,sceneId,nbdeath
0:00:40,0:01:45,The Wall,Castle Black,1,65,3,1,0
0:01:45,0:03:24,North of the Wall,The Haunted Forest,1,99,3,2,0
0:03:24,0:03:31,North of the Wall,The Haunted Forest,1,7,2,3,1
0:03:31,0:03:38,North of the Wall,The Haunted Forest,1,7,1,4,0
0:03:44,0:05:36,North of the Wall,The Haunted Forest,1,112,3,5,0
0:05:36,0:05:41,North of the Wall,The Haunted Forest,1,5,1,6,0
0:05:41,0:05:48,North of the Wall,The Haunted Forest,1,7,2,7,0
0:05:48,0:05:58,North of the Wall,The Haunted Forest,1,10,1,8,0
0:05:58,0:06:21,North of the Wall,The Haunted Forest,1,23,3,9,1
0:06:21,0:06:39,North of the Wall,The Haunted Forest,1,18,1,10,0
0:06:39,0:06:49,North of the Wall,The Haunted Forest,1,10,2,11,0
0:06:49,0:07:45,North of the Wall,The Haunted Forest,1,56,3,12,1
0:09:27,0:12:38,The North,Winterfell,1,191,12,13,0
0:12:38,0:15:41,The North,Outside Winterfell,1,183,8,14,1
0:15:41,0:18:44,The North,Outside Winterfell,1,183,13,15,0
0:18:44,0:20:45,The Crownlands,King's Landing,1,121,3,16,1
0:20:45,0:22:43,The North,Winterfell,1,118,2,17,0
0:22:43,0:23:09,The North,Winterfell,1,26,2,18,0
0:23:09,0:23:39,The North,Winterfell,1,30,3,19,0
0:23:39,0:29:16,The North,Winterfell,1,337,20,20,0
0:29:16,0:30:47,The North,Winterfell,1,91,2,21,0
0:30:47,0:32:57,The North,Winterfell,1,130,3,22,0
0:32:57,0:33:45,The North,Winterfell,1,48,2,23,0
0:33:45,0:36:17,Pentos,NA,1,152,2,24,0
0:36:17,0:38:23,Pentos,NA,1,126,5,25,0
0:38:23,0:40:05,Pentos,NA,1,102,3,26,0
0:40:05,0:40:56,The North,Winterfell,1,51,2,27,0
0:40:56,0:41:19,The North,Winterfell,1,23,4,28,0
0:41:19,0:44:14,The North,Winterfell,1,175,3,29,0
0:44:14,0:47:28,The North,Winterfell,1,194,12,30,0
0:47:28,0:50:29,The North,Winterfell,1,181,3,31,0
0:50:29,0:56:05,Pentos,NA,1,336,9,32,0
0:56:05,0:57:48,Pentos,NA,1,103,2,33,0
0:57:48,0:59:06,The North,Winterfell,1,78,9,34,0
0:59:06,1:00:57,The North,Winterfell,1,111,4,35,0
0:02:22,0:05:28,The Dothraki Sea,NA,2,186,7,36,0
0:05:28,0:07:05,The North,Winterfell,2,97,3,37,0
0:07:05,0:09:18,The North,Winterfell,2,133,5,38,0
